t,cost,fp,fn,flagged,accuracy
0.02,3646500.0,2431,0,3000,0.18966666666666668
0.03,3545255.5923162405,2341,2,2908,0.219
0.039999999999999994,3055178.1270042863,1823,19,2373,0.386
0.049999999999999996,2824211.68090173,1534,31,2072,0.47833333333333333
0.06,2690734.0501666926,1355,39,1885,0.5353333333333333
0.06999999999999999,2572989.642482933,1254,41,1782,0.5683333333333334
0.07999999999999999,2532123.030957294,1193,44,1718,0.5876666666666667
0.09,2507378.6232735347,1154,46,1677,0.6
0.09999999999999999,2505134.2155897757,1130,48,1651,0.6073333333333333
0.10999999999999999,2505512.0117478957,1119,49,1639,0.6106666666666667
0.11999999999999998,2513767.6040641367,1102,51,1620,0.6156666666666667
0.12999999999999998,2516023.1963803773,1081,53,1597,0.622
0.13999999999999999,2501778.788696618,1049,55,1563,0.632
0.14999999999999997,2520912.177170979,1028,58,1539,0.638
0.15999999999999998,2530667.7694872194,1012,60,1521,0.6426666666666667
0.16999999999999996,2549423.36180346,1002,62,1509,0.6453333333333333
0.17999999999999997,2595934.546435941,988,66,1491,0.6486666666666666
0.18999999999999997,2662323.527226543,976,71,1474,0.651
0.19999999999999996,2697956.915700904,966,74,1461,0.6533333333333333
0.20999999999999996,2804101.488807746,958,81,1446,0.6536666666666666
0.21999999999999995,2860368.2657564683,928,87,1410,0.6616666666666666
0.22999999999999995,3199057.5773932356,895,110,1354,0.665
0.23999999999999996,3372346.72360692,853,124,1298,0.6743333333333333
0.24999999999999994,3633402.6467693266,802,144,1227,0.6846666666666666
0.25999999999999995,4089492.123829177,746,176,1139,0.6926666666666667
0.26999999999999996,4562459.397047147,690,209,1050,0.7003333333333334
0.27999999999999997,5206460.224162562,613,254,928,0.711
0.29,6018872.401333541,502,312,759,0.7286666666666667
0.3,6609628.820765196,367,359,577,0.758
0.31,7331274.220987453,263,411,421,0.7753333333333333
0.31999999999999995,7967019.455786627,203,454,318,0.781
0.32999999999999996,8347342.155897755,164,480,253,0.7853333333333333
0.33999999999999997,8430986.729004597,141,487,223,0.7906666666666666
0.35,8621898.079060161,122,500,191,0.7926666666666666
0.36,8704042.652167004,98,507,160,0.7983333333333333
0.36999999999999994,8853320.613748208,85,517,137,0.7993333333333333
0.37999999999999995,8970342.98301317,73,525,117,0.8006666666666666
0.38999999999999996,9055109.759961892,62,531,100,0.8023333333333333
0.39999999999999997,9147376.536910614,56,537,88,0.8023333333333333
0.41,9186009.925384974,48,540,77,0.804
0.41999999999999993,9224643.313859336,40,543,66,0.8056666666666666
0.42999999999999994,9290654.498491816,39,547,61,0.8046666666666666
0.43999999999999995,9347665.683124298,32,551,50,0.8056666666666666
0.44999999999999996,9360043.479282418,29,552,46,0.8063333333333333
0.45999999999999996,9423054.6639149,26,556,39,0.806
0.47,9478565.84854738,18,560,27,0.8073333333333333
0.4799999999999999,9524699.237021742,15,563,21,0.8073333333333333
0.48999999999999994,9520199.237021742,12,563,18,0.8083333333333333
0.49999999999999994,9537077.033179862,12,564,17,0.808
0.5099999999999999,9534077.033179862,10,564,15,0.8086666666666666
0.5199999999999999,9566332.625496102,9,566,12,0.8083333333333333
0.5299999999999999,9560332.625496102,5,566,8,0.8096666666666666
0.5399999999999999,9574210.421654223,3,567,5,0.81
0.5499999999999999,9589588.217812344,2,568,3,0.81
0.5599999999999999,9588088.217812344,1,568,2,0.8103333333333333
0.57,9588088.217812344,1,568,2,0.8103333333333333
0.58,9603466.013970464,0,569,0,0.8103333333333333
0.59,9603466.013970464,0,569,0,0.8103333333333333
0.6,9603466.013970464,0,569,0,0.8103333333333333
0.6099999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.6199999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.6299999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.6399999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.6499999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.6599999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.6699999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.6799999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.69,9603466.013970464,0,569,0,0.8103333333333333
0.7,9603466.013970464,0,569,0,0.8103333333333333
0.71,9603466.013970464,0,569,0,0.8103333333333333
0.7199999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7299999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7399999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7499999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7599999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7699999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7799999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7899999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.7999999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8099999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8199999999999998,9603466.013970464,0,569,0,0.8103333333333333
0.8299999999999998,9603466.013970464,0,569,0,0.8103333333333333
0.8399999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8499999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8599999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8699999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8799999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8899999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.8999999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.9099999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.9199999999999999,9603466.013970464,0,569,0,0.8103333333333333
0.9299999999999998,9603466.013970464,0,569,0,0.8103333333333333
0.9399999999999998,9603466.013970464,0,569,0,0.8103333333333333
